date,season,competition,league_match,home_team,away_team,home_score,away_score,home_pen,away_pen,penalties,shootout_winner,neutral,venue,event_id,stage
2026-09-12,2026,MLS,True,Real Salt Lake,New York City FC,0,2,,,False,,False,America First Field,761809,regular-season
2026-09-12,2026,MLS,True,LA Galaxy,Seattle Sounders FC,1,1,,,False,,False,Dignity Health Sports Park,761811,regular-season
2026-09-12,2026,MLS,True,San Jose Earthquakes,Houston Dynamo FC,1,0,,,False,,False,PayPal Park,761810,regular-season
2026-09-13,2026,MLS,True,Chicago Fire FC,New England Revolution,1,2,,,False,,False,Soldier Field,761812,regular-season
2026-09-13,2026,MLS,True,Vancouver Whitecaps,Austin FC,1,2,,,False,,False,BC Place,761813,regular-season
2026-09-13,2026,MLS,True,San Diego FC,Philadelphia Union,0,5,,,False,,False,Snapdragon Stadium,761814,regular-season
2026-09-18,2026,MLS,True,New York City FC,Red Bull New York,0,1,,,False,,False,Yankee Stadium,761815,regular-season
2026-09-19,2026,MLS,True,CF Montréal,Columbus Crew,0,2,,,False,,False,Stade Saputo,761818,regular-season
2026-09-19,2026,MLS,True,D.C. United,Charlotte FC,1,2,,,False,,False,Audi Field,761819,regular-season
2026-09-19,2026,MLS,True,New England Revolution,Orlando City SC,4,2,,,False,,False,Gillette Stadium,761816,regular-season
2026-09-19,2026,MLS,True,San Jose Earthquakes,LAFC,2,2,,,False,,False,Levi's Stadium,761817,regular-season
2026-09-19,2026,MLS,True,FC Dallas,Austin FC,0,0,,,False,,False,Toyota Stadium,761822,regular-season
2026-09-19,2026,MLS,True,Houston Dynamo FC,FC Cincinnati,2,2,,,False,,False,Shell Energy Stadium,761820,regular-season
2026-09-19,2026,MLS,True,Minnesota United FC,LA Galaxy,2,3,,,False,,False,Allianz Field,761821,regular-season
2026-09-19,2026,MLS,True,Sporting Kansas City,Philadelphia Union,3,4,,,False,,False,Sporting Park,761823,regular-season
2026-09-19,2026,MLS,True,St. Louis CITY SC,Toronto FC,3,1,,,False,,False,Energizer Park,761824,regular-season
2026-09-19,2026,MLS,True,Colorado Rapids,Seattle Sounders FC,3,3,,,False,,False,Dick's Sporting Goods Park,761826,regular-season
2026-09-19,2026,MLS,True,Nashville SC,Chicago Fire FC,3,0,,,False,,False,GEODIS Park,761827,regular-season
2026-09-19,2026,MLS,True,Real Salt Lake,Vancouver Whitecaps,0,3,,,False,,False,America First Field,761825,regular-season
2026-09-19,2026,MLS,True,Portland Timbers,Atlanta United FC,0,1,,,False,,False,Providence Park,761828,regular-season
2026-09-20,2026,MLS,True,Inter Miami CF,San Diego FC,2,2,,,False,,False,Nu Stadium,761829,regular-season
2026-09-23,2026,MLS,True,Seattle Sounders FC,Real Salt Lake,2,0,,,False,,False,Lumen Field,761543,regular-season
1996-04-06,1996,MLS,True,San Jose Earthquakes,D.C. United,1,0,,,False,,False,,fbcsv-mls-1996-1996-04-06-San Jose Earthquakes-D.C. United,Regular
1996-04-13,1996,MLS,True,LA Galaxy,Red Bull New York,2,1,,,False,,False,,fbcsv-mls-1996-1996-04-13-LA Galaxy-Red Bull New York,Regular
1996-04-13,1996,MLS,True,Tampa Bay Mutiny,New England Revolution,3,2,,,False,,False,,fbcsv-mls-1996-1996-04-13-Tampa Bay Mutiny-New England Revolution,Regular
1996-04-13,1996,MLS,True,Columbus Crew,D.C. United,4,0,,,False,,False,,fbcsv-mls-1996-1996-04-13-Columbus Crew SC-D.C. United,Regular
1996-04-13,1996,MLS,True,Sporting Kansas City,Colorado Rapids,3,0,,,False,,False,,fbcsv-mls-1996-1996-04-13-Sporting Kansas City-Colorado Rapids,Regular
1996-04-14,1996,MLS,True,FC Dallas,San Jose Earthquakes,1,0,,,False,,False,,fbcsv-mls-1996-1996-04-14-FC Dallas-San Jose Earthquakes,Regular
1996-04-18,1996,MLS,True,FC Dallas,Sporting Kansas City,3,0,,,False,,False,,fbcsv-mls-1996-1996-04-18-FC Dallas-Sporting Kansas City,Regular
1996-04-20,1996,MLS,True,D.C. United,LA Galaxy,1,2,,,False,,False,,fbcsv-mls-1996-1996-04-20-D.C. United-LA Galaxy,Regular
1996-04-20,1996,MLS,True,Columbus Crew,Tampa Bay Mutiny,1,2,,,False,,False,,fbcsv-mls-1996-1996-04-20-Columbus Crew SC-Tampa Bay Mutiny,Regular
1996-04-20,1996,MLS,True,Red Bull New York,New England Revolution,0,1,,,False,,False,,fbcsv-mls-1996-1996-04-20-Red Bull New York-New England Revolution,Regular
1996-04-21,1996,MLS,True,Colorado Rapids,FC Dallas,3,1,,,False,,False,,fbcsv-mls-1996-1996-04-21-Colorado Rapids-FC Dallas,Regular
1996-04-21,1996,MLS,True,San Jose Earthquakes,Sporting Kansas City,2,3,,,False,,False,,fbcsv-mls-1996-1996-04-21-San Jose Earthquakes-Sporting Kansas City,Regular
1996-04-27,1996,MLS,True,Red Bull New York,Columbus Crew,0,2,,,False,,False,,fbcsv-mls-1996-1996-04-27-Red Bull New York-Columbus Crew SC,Regular
1996-04-27,1996,MLS,True,New England Revolution,D.C. United,2,1,,,False,,False,,fbcsv-mls-1996-1996-04-27-New England Revolution-D.C. United,Regular
1996-04-28,1996,MLS,True,Tampa Bay Mutiny,FC Dallas,1,2,,,False,,False,,fbcsv-mls-1996-1996-04-28-Tampa Bay Mutiny-FC Dallas,Regular
1996-04-28,1996,MLS,True,LA Galaxy,San Jose Earthquakes,2,1,,,False,,False,,fbcsv-mls-1996-1996-04-28-LA Galaxy-San Jose Earthquakes,Regular
1996-05-01,1996,MLS,True,D.C. United,FC Dallas,3,1,,,False,,False,,fbcsv-mls-1996-1996-05-01-D.C. United-FC Dallas,Regular
1996-05-02,1996,MLS,True,Sporting Kansas City,Columbus Crew,6,4,,,False,,False,,fbcsv-mls-1996-1996-05-02-Sporting Kansas City-Columbus Crew SC,Regular
1996-05-04,1996,MLS,True,Red Bull New York,Tampa Bay Mutiny,4,3,,,False,,False,,fbcsv-mls-1996-1996-05-04-Red Bull New York-Tampa Bay Mutiny,Regular
1996-05-04,1996,MLS,True,New England Revolution,San Jose Earthquakes,1,2,,,False,,False,,fbcsv-mls-1996-1996-05-04-New England Revolution-San Jose Earthquakes,Regular
1996-05-05,1996,MLS,True,FC Dallas,Columbus Crew,1,0,,,False,,False,,fbcsv-mls-1996-1996-05-05-FC Dallas-Columbus Crew SC,Regular
1996-05-05,1996,MLS,True,Colorado Rapids,Sporting Kansas City,4,0,,,False,,False,,fbcsv-mls-1996-1996-05-05-Colorado Rapids-Sporting Kansas City,Regular
1996-05-05,1996,MLS,True,LA Galaxy,D.C. United,3,1,,,False,,False,,fbcsv-mls-1996-1996-05-05-LA Galaxy-D.C. United,Regular
1996-05-08,1996,MLS,True,San Jose Earthquakes,Colorado Rapids,3,1,,,False,,False,,fbcsv-mls-1996-1996-05-08-San Jose Earthquakes-Colorado Rapids,Regular
1996-05-08,1996,MLS,True,Tampa Bay Mutiny,Sporting Kansas City,2,0,,,False,,False,,fbcsv-mls-1996-1996-05-08-Tampa Bay Mutiny-Sporting Kansas City,Regular
1996-05-11,1996,MLS,True,Colorado Rapids,Tampa Bay Mutiny,1,2,,,False,,False,,fbcsv-mls-1996-1996-05-11-Colorado Rapids-Tampa Bay Mutiny,Regular
1996-05-11,1996,MLS,True,Columbus Crew,New England Revolution,3,2,,,False,,False,,fbcsv-mls-1996-1996-05-11-Columbus Crew SC-New England Revolution,Regular
1996-05-11,1996,MLS,True,Sporting Kansas City,FC Dallas,2,3,,,False,,False,,fbcsv-mls-1996-1996-05-11-Sporting Kansas City-FC Dallas,Regular
1996-05-12,1996,MLS,True,D.C. United,Red Bull New York,1,2,,,False,,False,,fbcsv-mls-1996-1996-05-12-D.C. United-Red Bull New York,Regular
1996-05-12,1996,MLS,True,San Jose Earthquakes,LA Galaxy,1,2,,,False,,False,,fbcsv-mls-1996-1996-05-12-San Jose Earthquakes-LA Galaxy,Regular
1996-05-15,1996,MLS,True,D.C. United,Columbus Crew,5,2,,,False,,False,,fbcsv-mls-1996-1996-05-15-D.C. United-Columbus Crew SC,Regular
1996-05-16,1996,MLS,True,Red Bull New York,Colorado Rapids,3,0,,,False,,False,,fbcsv-mls-1996-1996-05-16-Red Bull New York-Colorado Rapids,Regular
1996-05-18,1996,MLS,True,Tampa Bay Mutiny,San Jose Earthquakes,3,2,,,False,,False,,fbcsv-mls-1996-1996-05-18-Tampa Bay Mutiny-San Jose Earthquakes,Regular
1996-05-18,1996,MLS,True,FC Dallas,D.C. United,3,2,,,False,,False,,fbcsv-mls-1996-1996-05-18-FC Dallas-D.C. United,Regular
1996-05-19,1996,MLS,True,New England Revolution,Red Bull New York,2,0,,,False,,False,,fbcsv-mls-1996-1996-05-19-New England Revolution-Red Bull New York,Regular
1996-05-19,1996,MLS,True,Columbus Crew,Colorado Rapids,2,4,,,False,,False,,fbcsv-mls-1996-1996-05-19-Columbus Crew SC-Colorado Rapids,Regular
1996-05-19,1996,MLS,True,LA Galaxy,Sporting Kansas City,2,0,,,False,,False,,fbcsv-mls-1996-1996-05-19-LA Galaxy-Sporting Kansas City,Regular
1996-05-22,1996,MLS,True,Sporting Kansas City,Red Bull New York,2,1,,,False,,False,,fbcsv-mls-1996-1996-05-22-Sporting Kansas City-Red Bull New York,Regular
1996-05-23,1996,MLS,True,FC Dallas,Tampa Bay Mutiny,0,1,,,False,,False,,fbcsv-mls-1996-1996-05-23-FC Dallas-Tampa Bay Mutiny,Regular
1996-05-25,1996,MLS,True,New England Revolution,Colorado Rapids,3,2,,,False,,False,,fbcsv-mls-1996-1996-05-25-New England Revolution-Colorado Rapids,Regular
1996-05-26,1996,MLS,True,LA Galaxy,Columbus Crew,3,2,,,False,,False,,fbcsv-mls-1996-1996-05-26-LA Galaxy-Columbus Crew SC,Regular
1996-05-29,1996,MLS,True,San Jose Earthquakes,Sporting Kansas City,2,1,,,False,,False,,fbcsv-mls-1996-1996-05-29-San Jose Earthquakes-Sporting Kansas City,Regular
1996-05-29,1996,MLS,True,Colorado Rapids,FC Dallas,2,0,,,False,,False,,fbcsv-mls-1996-1996-05-29-Colorado Rapids-FC Dallas,Regular
1996-05-30,1996,MLS,True,Red Bull New York,D.C. United,1,2,,,False,,False,,fbcsv-mls-1996-1996-05-30-Red Bull New York-D.C. United,Regular
1996-06-01,1996,MLS,True,San Jose Earthquakes,Columbus Crew,3,2,,,False,,False,,fbcsv-mls-1996-1996-06-01-San Jose Earthquakes-Columbus Crew SC,Regular
1996-06-01,1996,MLS,True,Tampa Bay Mutiny,LA Galaxy,1,2,,,False,,False,,fbcsv-mls-1996-1996-06-01-Tampa Bay Mutiny-LA Galaxy,Regular
1996-06-01,1996,MLS,True,Sporting Kansas City,New England Revolution,2,1,,,False,,False,,fbcsv-mls-1996-1996-06-01-Sporting Kansas City-New England Revolution,Regular
1996-06-02,1996,MLS,True,FC Dallas,Red Bull New York,0,1,,,False,,False,,fbcsv-mls-1996-1996-06-02-FC Dallas-Red Bull New York,Regular
1996-06-02,1996,MLS,True,Colorado Rapids,D.C. United,2,3,,,False,,False,,fbcsv-mls-1996-1996-06-02-Colorado Rapids-D.C. United,Regular
1996-06-05,1996,MLS,True,D.C. United,San Jose Earthquakes,3,1,,,False,,False,,fbcsv-mls-1996-1996-06-05-D.C. United-San Jose Earthquakes,Regular
1996-06-05,1996,MLS,True,Sporting Kansas City,Tampa Bay Mutiny,1,3,,,False,,False,,fbcsv-mls-1996-1996-06-05-Sporting Kansas City-Tampa Bay Mutiny,Regular
1996-06-06,1996,MLS,True,New England Revolution,LA Galaxy,2,3,,,False,,False,,fbcsv-mls-1996-1996-06-06-New England Revolution-LA Galaxy,Regular
1996-06-08,1996,MLS,True,Columbus Crew,Sporting Kansas City,3,4,,,False,,False,,fbcsv-mls-1996-1996-06-08-Columbus Crew SC-Sporting Kansas City,Regular
1996-06-08,1996,MLS,True,FC Dallas,San Jose Earthquakes,4,1,,,False,,False,,fbcsv-mls-1996-1996-06-08-FC Dallas-San Jose Earthquakes,Regular
1996-06-08,1996,MLS,True,Tampa Bay Mutiny,Colorado Rapids,2,1,,,False,,False,,fbcsv-mls-1996-1996-06-08-Tampa Bay Mutiny-Colorado Rapids,Regular
1996-06-09,1996,MLS,True,Red Bull New York,LA Galaxy,0,4,,,False,,False,,fbcsv-mls-1996-1996-06-09-Red Bull New York-LA Galaxy,Regular
1996-06-15,1996,MLS,True,New England Revolution,Sporting Kansas City,2,1,,,False,,False,,fbcsv-mls-1996-1996-06-15-New England Revolution-Sporting Kansas City,Regular
1996-06-15,1996,MLS,True,FC Dallas,Colorado Rapids,2,1,,,False,,False,,fbcsv-mls-1996-1996-06-15-FC Dallas-Colorado Rapids,Regular
1996-06-16,1996,MLS,True,Red Bull New York,San Jose Earthquakes,0,1,,,False,,False,,fbcsv-mls-1996-1996-06-16-Red Bull New York-San Jose Earthquakes,Regular
1996-06-16,1996,MLS,True,LA Galaxy,Tampa Bay Mutiny,3,2,,,False,,False,,fbcsv-mls-1996-1996-06-16-LA Galaxy-Tampa Bay Mutiny,Regular
1996-06-19,1996,MLS,True,Red Bull New York,FC Dallas,1,0,,,False,,False,,fbcsv-mls-1996-1996-06-19-Red Bull New York-FC Dallas,Regular
1996-06-19,1996,MLS,True,Columbus Crew,Colorado Rapids,2,3,,,False,,False,,fbcsv-mls-1996-1996-06-19-Columbus Crew SC-Colorado Rapids,Regular
1996-06-20,1996,MLS,True,Sporting Kansas City,D.C. United,5,1,,,False,,False,,fbcsv-mls-1996-1996-06-20-Sporting Kansas City-D.C. United,Regular
1996-06-22,1996,MLS,True,Tampa Bay Mutiny,Columbus Crew,3,4,,,False,,False,,fbcsv-mls-1996-1996-06-22-Tampa Bay Mutiny-Columbus Crew SC,Regular
1996-06-23,1996,MLS,True,New England Revolution,FC Dallas,1,4,,,False,,False,,fbcsv-mls-1996-1996-06-23-New England Revolution-FC Dallas,Regular
1996-06-23,1996,MLS,True,San Jose Earthquakes,D.C. United,2,1,,,False,,False,,fbcsv-mls-1996-1996-06-23-San Jose Earthquakes-D.C. United,Regular
1996-06-26,1996,MLS,True,LA Galaxy,Colorado Rapids,3,1,,,False,,False,,fbcsv-mls-1996-1996-06-26-LA Galaxy-Colorado Rapids,Regular
1996-06-26,1996,MLS,True,Red Bull New York,Sporting Kansas City,2,0,,,False,,False,,fbcsv-mls-1996-1996-06-26-Red Bull New York-Sporting Kansas City,Regular
1996-06-27,1996,MLS,True,New England Revolution,Columbus Crew,1,2,,,False,,False,,fbcsv-mls-1996-1996-06-27-New England Revolution-Columbus Crew SC,Regular
1996-06-29,1996,MLS,True,FC Dallas,Sporting Kansas City,0,1,,,False,,False,,fbcsv-mls-1996-1996-06-29-FC Dallas-Sporting Kansas City,Regular
1996-06-30,1996,MLS,True,Columbus Crew,Red Bull New York,0,4,,,False,,False,,fbcsv-mls-1996-1996-06-30-Columbus Crew SC-Red Bull New York,Regular
1996-06-30,1996,MLS,True,D.C. United,New England Revolution,3,1,,,False,,False,,fbcsv-mls-1996-1996-06-30-D.C. United-New England Revolution,Regular
1996-06-30,1996,MLS,True,Colorado Rapids,LA Galaxy,2,1,,,False,,False,,fbcsv-mls-1996-1996-06-30-Colorado Rapids-LA Galaxy,Regular
1996-06-30,1996,MLS,True,San Jose Earthquakes,Tampa Bay Mutiny,4,0,,,False,,False,,fbcsv-mls-1996-1996-06-30-San Jose Earthquakes-Tampa Bay Mutiny,Regular
1996-07-04,1996,MLS,True,LA Galaxy,New England Revolution,0,1,,,False,,False,,fbcsv-mls-1996-1996-07-04-LA Galaxy-New England Revolution,Regular
1996-07-04,1996,MLS,True,Tampa Bay Mutiny,Columbus Crew,4,1,,,False,,False,,fbcsv-mls-1996-1996-07-04-Tampa Bay Mutiny-Columbus Crew SC,Regular
1996-07-04,1996,MLS,True,FC Dallas,D.C. United,2,1,,,False,,False,,fbcsv-mls-1996-1996-07-04-FC Dallas-D.C. United,Regular
1996-07-04,1996,MLS,True,Colorado Rapids,Red Bull New York,3,1,,,False,,False,,fbcsv-mls-1996-1996-07-04-Colorado Rapids-Red Bull New York,Regular
1996-07-06,1996,MLS,True,San Jose Earthquakes,New England Revolution,1,2,,,False,,False,,fbcsv-mls-1996-1996-07-06-San Jose Earthquakes-New England Revolution,Regular
1996-07-06,1996,MLS,True,Sporting Kansas City,LA Galaxy,3,1,,,False,,False,,fbcsv-mls-1996-1996-07-06-Sporting Kansas City-LA Galaxy,Regular
1996-07-07,1996,MLS,True,Colorado Rapids,Columbus Crew,2,1,,,False,,False,,fbcsv-mls-1996-1996-07-07-Colorado Rapids-Columbus Crew SC,Regular
1996-07-07,1996,MLS,True,D.C. United,FC Dallas,6,1,,,False,,False,,fbcsv-mls-1996-1996-07-07-D.C. United-FC Dallas,Regular
1996-07-10,1996,MLS,True,Red Bull New York,FC Dallas,3,2,,,False,,False,,fbcsv-mls-1996-1996-07-10-Red Bull New York-FC Dallas,Regular
1996-07-10,1996,MLS,True,Sporting Kansas City,Colorado Rapids,2,0,,,False,,False,,fbcsv-mls-1996-1996-07-10-Sporting Kansas City-Colorado Rapids,Regular
1996-07-11,1996,MLS,True,Columbus Crew,New England Revolution,1,2,,,False,,False,,fbcsv-mls-1996-1996-07-11-Columbus Crew SC-New England Revolution,Regular
1996-07-12,1996,MLS,True,D.C. United,Tampa Bay Mutiny,1,0,,,False,,False,,fbcsv-mls-1996-1996-07-12-D.C. United-Tampa Bay Mutiny,Regular
1996-07-17,1996,MLS,True,FC Dallas,LA Galaxy,5,2,,,False,,False,,fbcsv-mls-1996-1996-07-17-FC Dallas-LA Galaxy,Regular
1996-07-17,1996,MLS,True,Colorado Rapids,San Jose Earthquakes,1,2,,,False,,False,,fbcsv-mls-1996-1996-07-17-Colorado Rapids-San Jose Earthquakes,Regular
1996-07-18,1996,MLS,True,Tampa Bay Mutiny,Sporting Kansas City,3,2,,,False,,False,,fbcsv-mls-1996-1996-07-18-Tampa Bay Mutiny-Sporting Kansas City,Regular
1996-07-20,1996,MLS,True,New England Revolution,D.C. United,2,0,,,False,,False,,fbcsv-mls-1996-1996-07-20-New England Revolution-D.C. United,Regular
1996-07-20,1996,MLS,True,Columbus Crew,San Jose Earthquakes,3,4,,,False,,False,,fbcsv-mls-1996-1996-07-20-Columbus Crew SC-San Jose Earthquakes,Regular
1996-07-20,1996,MLS,True,Sporting Kansas City,FC Dallas,1,2,,,False,,False,,fbcsv-mls-1996-1996-07-20-Sporting Kansas City-FC Dallas,Regular
1996-07-21,1996,MLS,True,Colorado Rapids,Tampa Bay Mutiny,1,3,,,False,,False,,fbcsv-mls-1996-1996-07-21-Colorado Rapids-Tampa Bay Mutiny,Regular
1996-07-21,1996,MLS,True,LA Galaxy,Red Bull New York,3,0,,,False,,False,,fbcsv-mls-1996-1996-07-21-LA Galaxy-Red Bull New York,Regular
1996-07-24,1996,MLS,True,Colorado Rapids,New England Revolution,2,0,,,False,,False,,fbcsv-mls-1996-1996-07-24-Colorado Rapids-New England Revolution,Regular
1996-07-24,1996,MLS,True,San Jose Earthquakes,Red Bull New York,0,1,,,False,,False,,fbcsv-mls-1996-1996-07-24-San Jose Earthquakes-Red Bull New York,Regular
1996-07-25,1996,MLS,True,Columbus Crew,Tampa Bay Mutiny,1,0,,,False,,False,,fbcsv-mls-1996-1996-07-25-Columbus Crew SC-Tampa Bay Mutiny,Regular
1996-07-27,1996,MLS,True,Tampa Bay Mutiny,LA Galaxy,4,3,,,False,,False,,fbcsv-mls-1996-1996-07-27-Tampa Bay Mutiny-LA Galaxy,Regular
1996-07-27,1996,MLS,True,FC Dallas,Colorado Rapids,3,0,,,False,,False,,fbcsv-mls-1996-1996-07-27-FC Dallas-Colorado Rapids,Regular
1996-07-27,1996,MLS,True,Sporting Kansas City,New England Revolution,4,2,,,False,,False,,fbcsv-mls-1996-1996-07-27-Sporting Kansas City-New England Revolution,Regular
1996-07-28,1996,MLS,True,Red Bull New York,San Jose Earthquakes,4,1,,,False,,False,,fbcsv-mls-1996-1996-07-28-Red Bull New York-San Jose Earthquakes,Regular
1996-07-28,1996,MLS,True,D.C. United,Columbus Crew,2,0,,,False,,False,,fbcsv-mls-1996-1996-07-28-D.C. United-Columbus Crew SC,Regular
1996-07-31,1996,MLS,True,Columbus Crew,FC Dallas,1,2,,,False,,False,,fbcsv-mls-1996-1996-07-31-Columbus Crew SC-FC Dallas,Regular
1996-07-31,1996,MLS,True,D.C. United,Sporting Kansas City,2,3,,,False,,False,,fbcsv-mls-1996-1996-07-31-D.C. United-Sporting Kansas City,Regular
1996-07-31,1996,MLS,True,New England Revolution,San Jose Earthquakes,2,0,,,False,,False,,fbcsv-mls-1996-1996-07-31-New England Revolution-San Jose Earthquakes,Regular
1996-08-01,1996,MLS,True,Colorado Rapids,LA Galaxy,2,3,,,False,,False,,fbcsv-mls-1996-1996-08-01-Colorado Rapids-LA Galaxy,Regular
1996-08-03,1996,MLS,True,New England Revolution,Red Bull New York,2,1,,,False,,False,,fbcsv-mls-1996-1996-08-03-New England Revolution-Red Bull New York,Regular
1996-08-03,1996,MLS,True,Tampa Bay Mutiny,Colorado Rapids,3,1,,,False,,False,,fbcsv-mls-1996-1996-08-03-Tampa Bay Mutiny-Colorado Rapids,Regular
1996-08-04,1996,MLS,True,D.C. United,Sporting Kansas City,2,4,,,False,,False,,fbcsv-mls-1996-1996-08-04-D.C. United-Sporting Kansas City,Regular
1996-08-04,1996,MLS,True,LA Galaxy,Columbus Crew,1,2,,,False,,False,,fbcsv-mls-1996-1996-08-04-LA Galaxy-Columbus Crew SC,Regular
1996-08-07,1996,MLS,True,Tampa Bay Mutiny,D.C. United,1,3,,,False,,False,,fbcsv-mls-1996-1996-08-07-Tampa Bay Mutiny-D.C. United,Regular
1996-08-07,1996,MLS,True,Colorado Rapids,Sporting Kansas City,4,2,,,False,,False,,fbcsv-mls-1996-1996-08-07-Colorado Rapids-Sporting Kansas City,Regular
1996-08-08,1996,MLS,True,LA Galaxy,New England Revolution,1,0,,,False,,False,,fbcsv-mls-1996-1996-08-08-LA Galaxy-New England Revolution,Regular
1996-08-10,1996,MLS,True,Columbus Crew,D.C. United,3,2,,,False,,False,,fbcsv-mls-1996-1996-08-10-Columbus Crew SC-D.C. United,Regular
1996-08-10,1996,MLS,True,FC Dallas,Tampa Bay Mutiny,2,1,,,False,,False,,fbcsv-mls-1996-1996-08-10-FC Dallas-Tampa Bay Mutiny,Regular
1996-08-11,1996,MLS,True,Sporting Kansas City,LA Galaxy,3,2,,,False,,False,,fbcsv-mls-1996-1996-08-11-Sporting Kansas City-LA Galaxy,Regular
1996-08-11,1996,MLS,True,Colorado Rapids,Red Bull New York,0,2,,,False,,False,,fbcsv-mls-1996-1996-08-11-Colorado Rapids-Red Bull New York,Regular
1996-08-11,1996,MLS,True,San Jose Earthquakes,New England Revolution,6,1,,,False,,False,,fbcsv-mls-1996-1996-08-11-San Jose Earthquakes-New England Revolution,Regular
1996-08-14,1996,MLS,True,Red Bull New York,New England Revolution,4,0,,,False,,False,,fbcsv-mls-1996-1996-08-14-Red Bull New York-New England Revolution,Regular
1996-08-14,1996,MLS,True,FC Dallas,Columbus Crew,2,3,,,False,,False,,fbcsv-mls-1996-1996-08-14-FC Dallas-Columbus Crew SC,Regular
1996-08-15,1996,MLS,True,Sporting Kansas City,San Jose Earthquakes,4,1,,,False,,False,,fbcsv-mls-1996-1996-08-15-Sporting Kansas City-San Jose Earthquakes,Regular
1996-08-16,1996,MLS,True,New England Revolution,Colorado Rapids,2,0,,,False,,False,,fbcsv-mls-1996-1996-08-16-New England Revolution-Colorado Rapids,Regular
1996-08-17,1996,MLS,True,Tampa Bay Mutiny,Red Bull New York,3,1,,,False,,False,,fbcsv-mls-1996-1996-08-17-Tampa Bay Mutiny-Red Bull New York,Regular
1996-08-18,1996,MLS,True,Columbus Crew,San Jose Earthquakes,2,0,,,False,,False,,fbcsv-mls-1996-1996-08-18-Columbus Crew SC-San Jose Earthquakes,Regular
1996-08-18,1996,MLS,True,D.C. United,LA Galaxy,2,1,,,False,,False,,fbcsv-mls-1996-1996-08-18-D.C. United-LA Galaxy,Regular
1996-08-21,1996,MLS,True,LA Galaxy,Sporting Kansas City,1,2,,,False,,False,,fbcsv-mls-1996-1996-08-21-LA Galaxy-Sporting Kansas City,Regular
1996-08-21,1996,MLS,True,Red Bull New York,D.C. United,2,3,,,False,,False,,fbcsv-mls-1996-1996-08-21-Red Bull New York-D.C. United,Regular
1996-08-21,1996,MLS,True,New England Revolution,Tampa Bay Mutiny,4,2,,,False,,False,,fbcsv-mls-1996-1996-08-21-New England Revolution-Tampa Bay Mutiny,Regular
1996-08-22,1996,MLS,True,San Jose Earthquakes,FC Dallas,1,0,,,False,,False,,fbcsv-mls-1996-1996-08-22-San Jose Earthquakes-FC Dallas,Regular
